Rank,Player,Real time,In-game time,Version,Difficulty,F3,Mods,Date
1st,Couriway,14m 39s 520ms,14m 36s 500ms,1.16.1,Normal,F3,JellySquid,2 months ago
2nd,Korbanoes,15m 12s 970ms,14m 56s 800ms,1.16.1,Normal,F3,Vanilla,3 months ago
3rd,Dowsky,15m 51s 040ms,15m 44s 100ms,1.16.1,Easy,F3,JellySquid,4 weeks ago
4th,zylenox,16m 01s 020ms,15m 54s 283ms,1.16.1,Easy,F3,JellySquid,1 week ago
5th,Dylqn,17m 02s,16m 41s,1.16.1,Easy,F3,JellySquid,1 month ago
6th,Dimeax,17m 29s 001ms,17m 26s,1.16.1,Easy,F3,Vanilla,3 months ago
7th,Feinberg,18m 44s 590ms,17m 31s 950ms,1.16.1,Easy,F3,JellySquid,2 months ago
8th,ninjabrain1,18m 03s 990ms,17m 33s 850ms,1.16.1,Easy,F3,JellySquid,1 month ago
9th,pluginL,17m 40s 840ms,17m 37s 800ms,1.16.1,Easy,F3,JellySquid,1 month ago
10th,Dav1E,17m 58s 089ms,17m 38s 020ms,1.16.1,Easy,F3,JellySquid,3 weeks ago
11th,Maljack,17m 47s 009ms,17m 40s 065ms,1.16.1,Easy,F3,JellySquid,1 month ago
12th,NiceTwice,17m 47s,17m 47s 950ms,1.16.1,Normal,F3,JellySquid,1 month ago
13th,Hamazon,19m 00s 970ms,18m 34s 400ms,1.16.1,Normal,F3,JellySquid,1 month ago
14th,VenfyTheKiller,18m 49s 540ms,18m 38s 600ms,1.16.1,Normal,F3,JellySquid,1 month ago
15th,nerdi,19m 00s 040ms,18m 39s 200ms,1.16.1,Normal,F3,Vanilla,1 month ago
16th,k4yfour,19m 09s 660ms,18m 40s 250ms,1.16.1,Easy,F3,JellySquid,2 weeks ago
17th,TheBlazer97,18m 44s 600ms,18m 40s 300ms,1.16.1,Normal,F3,Vanilla,1 month ago
18th,realbenex,18m 50s 620ms,18m 46s 850ms,1.16.1,Normal,F3,Vanilla,2 months ago
19th,hary0tt,19m 13s 320ms,18m 56s 100ms,1.16.1,Easy,F3,JellySquid,1 month ago
20th,KiRyuKoe,19m 15s 760ms,19m 15s 150ms,1.16.1,Hardcore,F3,JellySquid,2 weeks ago
21st,Illumina,19m 16s,19m 16s 450ms,1.16.1,Normal,No F3,Vanilla,3 months ago
22nd,MathoX,19m 24s 010ms,19m 21s 170ms,1.16.1,Normal,No F3,JellySquid,1 month ago
23rd,Funderful_TV,19m 26s 470ms,19m 21s 750ms,1.16.1,Easy,F3,Vanilla,1 month ago
24th,Vadikus007,19m 35s 540ms,19m 33s 070ms,1.16.1,Normal,F3,Vanilla,2 months ago
25th,TheeSizzler,19m 42s 700ms,19m 41s 533ms,1.16.1,Normal,F3,Vanilla,5 months ago
26th,Boscarvidios,19m 42s 730ms,19m 42s 730ms,1.16.1,Easy,F3,JellySquid,1 month ago
27th,GetOutaHere,20m 08s 638ms,19m 46s,1.16.1,Normal,F3,JellySquid,1 month ago
28th,jojoe77777,20m 36s 040ms,19m 55s 100ms,1.16.1,Easy,F3,JellySquid,1 month ago
29th,Fulham,21m 28s 910ms,19m 57s 900ms,1.16.1,Normal,F3,JellySquid,1 month ago
30th,Eliborate,20m 00s 026ms,19m 59s 600ms,1.16.1,Easy,F3,JellySquid,1 month ago
31st,Colooguy,21m 08s 900ms,20m 16s 300ms,1.16.1,Normal,F3,JellySquid,3 weeks ago
32nd,Cube1337x,20m 28s 280ms,20m 24s 250ms,1.16.1,Normal,F3,JellySquid,2 months ago
33rd,blackmagic556,20m 27s 500ms,20m 26s 500ms,1.16.1,Normal,F3,Vanilla,2 months ago
34th,JuliusTheTinyDog,20m 35s,20m 32s,1.16.1,Normal,F3,Vanilla,3 months ago
35th,Bubbawid,20m 54s 367ms,20m 44s 700ms,1.16.1,Easy,F3,JellySquid,2 weeks ago
36th,Howwyl,20m 56s 290ms,20m 45s 850ms,1.16.1,Easy,F3,JellySquid,1 month ago
37th,MultiPorl,20m 52s 220ms,20m 47s 950ms,1.16.1,Normal,F3,JellySquid,1 week ago
38th,Yoopicul,20m 53s 300ms,20m 53s 300ms,1.16.1,Easy,F3,JellySquid,1 month ago
39th,TwoLetterName,20m 56s 310ms,20m 55s 850ms,1.16.1,Normal,F3,JellySquid,4 weeks ago
40th,Jakers_42,21m 07s 040ms,20m 57s 800ms,1.16.1,Normal,F3,JellySquid,2 weeks ago
41st,Cizzorz,21m 01s 840ms,20m 59s 850ms,1.16.1,Easy,F3,JellySquid,3 months ago
42nd,AutomattPL,21m 05s 080ms,21m 02s 200ms,1.16.1,Normal,F3,JellySquid,3 months ago
43rd,EleventyBillion,21m 27s 180ms,21m 06s 600ms,1.16.1,Easy,F3,JellySquid,2 weeks ago
44th,Kunaxe,21m 18s 320ms,21m 07s 150ms,1.16.1,Easy,F3,JellySquid,2 weeks ago
45th,calc1um,21m 10s 920ms,21m 08s 600ms,1.16.1,Easy,F3,JellySquid,2 weeks ago
46th,Danger1451,21m 12s 540ms,21m 09s 150ms,1.16.1,Normal,F3,Vanilla,2 weeks ago
47th,reignex,21m 23s 310ms,21m 09s 250ms,1.16.1,Normal,F3,JellySquid,3 weeks ago
48th,CredAhead,21m 13s 038ms,21m 13s 065ms,1.16.1,Easy,F3,JellySquid,3 weeks ago
49th,TobiaszGaming,21m 22s 890ms,21m 13s 200ms,1.16.1,Normal,F3,JellySquid,3 months ago
50th,xCrownie,21m 25s 620ms,21m 17s 400ms,1.16.1,Easy,F3,JellySquid,1 month ago
51st,MoleyGrail,22m 05s 260ms,21m 25s,1.16.1,Easy,F3,JellySquid,2 weeks ago
52nd,MinecrAvenger,21m 28s,21m 26s 167ms,1.16.1,Normal,F3,JellySquid,3 weeks ago
53rd,g4v1ng72,21m 45s 000ms,21m 27s 000ms,1.16.1,Easy,F3,JellySquid,1 month ago
54th,PeteZahHutt,21m 33s 250ms,21m 27s 950ms,1.16.1,Normal,F3,JellySquid,5 months ago
55th,santa12,21m 45s 110ms,21m 45s 110ms,1.16.1,Easy,F3,Vanilla,1 month ago
56th,Trevstacks,21m 48s,21m 48s,1.16.1,Easy,F3,JellySquid,2 months ago
57th,Jigjester,21m 52s 100ms,21m 52s 100ms,1.16.1,Easy,F3,Vanilla,1 month ago
58th,Sponsorius,23m 09s 470ms,21m 54s 600ms,1.16.1,Easy,F3,JellySquid,3 weeks ago
59th,MallardTV,22m 03s,21m 59s,1.16.1,Easy,F3,JellySquid,2 months ago
60th,T_Wag,22m 05s,22m 04s 600ms,1.16.1,Normal,F3,Vanilla,3 months ago
61st,ItsssLolo,22m 06s 920ms,22m 06s 920ms,1.16.1,Easy,F3,Vanilla,2 weeks ago
62nd,adjournment,22m 06s 967ms,22m 06s 967ms,1.16.1,Easy,F3,JellySquid,1 month ago
63rd,nEmerald,22m 20s 010ms,22m 09s 100ms,1.16.1,Normal,F3,JellySquid,1 week ago
64th,Hoffik,24m 14s 210ms,22m 09s 700ms,1.16.1,Normal,F3,JellySquid,3 weeks ago
65th,Heaven24x,22m 13s 830ms,22m 10s,1.16.1,Easy,F3,Vanilla,1 month ago
